block,stim_1_id,relation_1_verb,relation_1_place,relation_1_time,stim_2_id,relation_2_verb,relation_2_place,relation_2_time,switch_1,switch_2_stim_1_id,switch_2_verb,switch_2_stim_2_id,switch_2_and,switch_2_if,q_stim_1_id,q_rel_place,q_rel_time,correct_response
7,1,is,here,,2,is,there,,If here is there and there is here,,,,,,1,here,,no
7,1,is,here,,2,is,there,,If here is there and there is here,,,,,,1,there,,yes
7,1,is,here,,2,is,there,,If here is there and there is here,,,,,,2,here,,yes
7,1,is,here,,2,is,there,,If here is there and there is here,,,,,,2,there,,no
7,1,is,here,now,2,was,there,then,If here is there and there is here,,,,,,1,here,now,no
7,1,is,here,now,2,was,there,then,If here is there and there is here,,,,,,1,here,then,yes
7,1,is,here,now,2,was,there,then,If here is there and there is here,,,,,,1,there,now,yes
7,1,is,here,now,2,was,there,then,If here is there and there is here,,,,,,1,there,then,no
7,1,is,here,now,2,was,there,then,If now is then and then is now,,,,,,1,here,now,no
7,1,is,here,now,2,was,there,then,If now is then and then is now,,,,,,1,here,then,yes
7,1,is,here,now,2,was,there,then,If now is then and then is now,,,,,,1,there,now,yes
7,1,is,here,now,2,was,there,then,If now is then and then is now,,,,,,1,there,then,no
7,1,is,here,now,2,was,there,then,If here is there and there is here,1,is,2,and,if,1,here ,now,no
7,1,is,here,now,2,was,there,then,If here is there and there is here,1,is,2,and,if,1,here ,then,yes
7,1,is,here,now,2,was,there,then,If here is there and there is here,1,is,2,and,if,1,there ,now,no
7,1,is,here,now,2,was,there,then,If here is there and there is here,1,is,2,and,if,1,there ,then,no
7,1,is,here,now,2,was,there,then,If here is there and there is here,1,is,2,and,if,2,here ,now,no
7,1,is,here,now,2,was,there,then,If here is there and there is here,1,is,2,and,if,2,here ,then,no
7,1,is,here,now,2,was,there,then,If here is there and there is here,1,is,2,and,if,2,there ,now,yes
7,1,is,here,now,2,was,there,then,If here is there and there is here,1,is,2,and,if,2,there ,then,no
7,1,is,here,now,2,was,there,then,If now is then and then is now,1,is,2,and,if,1,here ,now,no
7,1,is,here,now,2,was,there,then,If now is then and then is now,1,is,2,and,if,1,here ,then,no
7,1,is,here,now,2,was,there,then,If now is then and then is now,1,is,2,and,if,1,there ,now,yes
7,1,is,here,now,2,was,there,then,If now is then and then is now,1,is,2,and,if,1,there ,then,no
7,1,is,here,now,2,was,there,then,If now is then and then is now,1,is,2,and,if,2,here ,now,no
7,1,is,here,now,2,was,there,then,If now is then and then is now,1,is,2,and,if,2,here ,then,yes
7,1,is,here,now,2,was,there,then,If now is then and then is now,1,is,2,and,if,2,there ,now,no
7,1,is,here,now,2,was,there,then,If now is then and then is now,1,is,2,and,if,2,there ,then,no